order_id,order_date,ship_date,customer_id,product_id,quantity,sales,discount,profit,category,sub_category,unit_cost,list_price,customer_name,segment,region,order_month,profit_margin_pct,shipping_days
NM202401461113,2024-01-27,2024-02-01,CU0049,PR522,1,41.69,0.0,19.67,Office Supplies,Storage,22.02,41.69,Sam Bell,Corporate,Central,2024-01,47.18157831614297,5
NM202401729507,2024-01-29,2024-01-31,CU0229,PR507,4,170.76,0.0,91.36,Technology,Machines,19.85,42.69,Drew Bell,Corporate,Central,2024-01,53.50199109861794,2
NM202401472052,2024-01-08,2024-01-13,CU0108,PR501,1,728.04,0.3,14.63,Technology,Phones,713.41,1040.06,Sam Dean,Consumer,East,2024-01,2.009504972254272,5
NM202401384236,2024-01-22,2024-01-27,CU0220,PR503,7,921.6,0.15,234.97000000000003,Technology,Phones,98.09,154.89,Drew Dean,Consumer,Central,2024-01,25.49587673611111,5
NM202401487969,2024-01-04,2024-01-07,CU0213,PR501,2,2080.12,0.0,653.3,Technology,Phones,713.41,1040.06,Drew Wood,Consumer,South,2024-01,31.40684191296656,3
NM202401286944,2024-01-02,2024-01-06,CU0005,PR508,1,195.03,0.15,76.79,Technology,Machines,118.24,229.45,Jamie Fox,Home Office,East,2024-01,39.37342972875968,4
NM202401278618,2024-01-20,2024-01-25,CU0189,PR506,2,1046.08,0.2,389.52,Technology,Accessories,328.28,653.8,Sam Fox,Corporate,East,2024-01,37.23615784643622,5
NM202401543265,2024-01-30,2024-01-31,CU0124,PR505,3,495.31,0.15,157.75,Technology,Accessories,112.52,194.24,Alex Bell,Consumer,East,2024-01,31.848741192384566,1
NM202401161347,2024-01-09,2024-01-13,CU0011,PR523,7,303.63,0.15,33.08,Office Supplies,Art,38.65,51.03,Quinn Hunt,Consumer,West,2024-01,10.89483911339459,4
NM202401398136,2024-01-16,2024-01-18,CU0184,PR519,4,45.04,0.0,16.28,Office Supplies,Paper,7.19,11.26,Jamie Lee,Consumer,East,2024-01,36.145648312611016,2
NM202401671338,2024-01-11,2024-01-14,CU0034,PR506,2,1307.6,0.0,651.04,Technology,Accessories,328.28,653.8,Quinn Bell,Corporate,East,2024-01,49.788926277148974,3
NM202401927887,2024-01-18,2024-01-20,CU0160,PR502,8,2537.6,0.0,1238.08,Technology,Phones,162.44,317.2,Quinn Fox,Home Office,South,2024-01,48.78940731399748,2
NM202401361834,2024-01-27,2024-02-03,CU0023,PR509,1,529.98,0.2,193.77,Technology,Machines,336.21,662.47,Taylor Hunt,Corporate,Central,2024-01,36.561757047435755,7
NM202401529014,2024-01-12,2024-01-19,CU0051,PR524,4,338.04,0.0,74.28,Office Supplies,Art,65.94,84.51,Drew Ray,Consumer,South,2024-01,21.973730919417818,7
NM202401299657,2024-01-17,2024-01-23,CU0095,PR524,4,338.04,0.0,74.28,Office Supplies,Art,65.94,84.51,Riley Fox,Consumer,South,2024-01,21.973730919417818,6
NM202401259082,2024-01-25,2024-01-29,CU0129,PR514,8,1907.78,0.1,627.54,Furniture,Bookcases,160.03,264.97,Quinn Roy,Home Office,South,2024-01,32.89372988499722,4
NM202401117079,2024-01-09,2024-01-14,CU0074,PR506,8,4184.32,0.2,1558.08,Technology,Accessories,328.28,653.8,Morgan Wood,Consumer,Central,2024-01,37.23615784643622,5
NM202401303427,2024-01-04,2024-01-10,CU0087,PR501,5,4160.24,0.2,593.19,Technology,Phones,713.41,1040.06,Sam Roy,Corporate,South,2024-01,14.258552391208202,6
NM202401103230,2024-01-18,2024-01-20,CU0117,PR524,7,532.41,0.1,70.83,Office Supplies,Art,65.94,84.51,Alex Hunt,Consumer,South,2024-01,13.30365695610526,2
NM202401933514,2024-01-20,2024-01-24,CU0098,PR518,3,142.06,0.3,40.06,Office Supplies,Paper,34.0,67.65,Sam Cruz,Home Office,Central,2024-01,28.199352386315642,4
NM202401616868,2024-01-14,2024-01-16,CU0080,PR524,4,338.04,0.0,74.28,Office Supplies,Art,65.94,84.51,Drew Bell,Corporate,South,2024-01,21.973730919417818,2
NM202401695119,2024-01-24,2024-01-27,CU0098,PR514,8,1907.78,0.1,627.54,Furniture,Bookcases,160.03,264.97,Sam Cruz,Home Office,Central,2024-01,32.89372988499722,3
NM202401955284,2024-01-10,2024-01-11,CU0220,PR513,6,1371.82,0.1,195.64,Furniture,Tables,196.03,254.04,Drew Dean,Consumer,Central,2024-01,14.26134624076045,1
NM202401870835,2024-01-11,2024-01-18,CU0226,PR516,1,8.19,0.15,3.31,Office Supplies,Binders,4.88,9.64,Quinn Ray,Consumer,East,2024-01,40.415140415140414,7
NM202401651775,2024-01-29,2024-01-31,CU0048,PR506,2,915.32,0.3,258.76,Technology,Accessories,328.28,653.8,Alex Dean,Corporate,West,2024-01,28.26989468164139,2
NM202401823645,2024-01-03,2024-01-09,CU0197,PR501,2,2080.12,0.0,653.3,Technology,Phones,713.41,1040.06,Casey Fox,Corporate,West,2024-01,31.40684191296656,6
NM202401739206,2024-01-21,2024-01-23,CU0236,PR503,6,836.41,0.1,247.87,Technology,Phones,98.09,154.89,Jamie Lee,Home Office,South,2024-01,29.634987625685973,2
NM202401643445,2024-01-31,2024-02-01,CU0178,PR502,1,317.2,0.0,154.76,Technology,Phones,162.44,317.2,Drew Lee,Consumer,West,2024-01,48.78940731399748,1
NM202401935076,2024-01-13,2024-01-14,CU0195,PR524,1,67.61,0.2,1.67,Office Supplies,Art,65.94,84.51,Riley Bell,Corporate,South,2024-01,2.4700488093477295,1
NM202401721757,2024-01-25,2024-02-01,CU0011,PR514,2,423.95,0.2,103.89,Furniture,Bookcases,160.03,264.97,Quinn Hunt,Consumer,West,2024-01,24.50524826040807,7
NM202401888649,2024-01-02,2024-01-08,CU0091,PR505,1,155.39,0.2,42.87,Technology,Accessories,112.52,194.24,Alex Ray,Home Office,West,2024-01,27.58864791814145,6
NM202401201068,2024-01-21,2024-01-21,CU0239,PR511,7,748.5,0.1,309.81,Furniture,Chairs,62.67,118.81,Morgan Roy,Corporate,South,2024-01,41.390781563126254,0
NM202401208766,2024-01-16,2024-01-19,CU0159,PR507,6,217.72,0.15,98.62,Technology,Machines,19.85,42.69,Morgan Fox,Home Office,Central,2024-01,45.29671137240492,3
NM202401419075,2024-01-25,2024-01-28,CU0204,PR507,3,89.65,0.3,30.1,Technology,Machines,19.85,42.69,Morgan Bell,Home Office,Central,2024-01,33.575013943112104,3
NM202401833775,2024-01-22,2024-01-22,CU0187,PR519,2,20.27,0.1,5.89,Office Supplies,Paper,7.19,11.26,Taylor Bell,Home Office,East,2024-01,29.057720769610263,0
NM202401829121,2024-01-29,2024-01-29,CU0090,PR521,2,99.6,0.0,23.64,Office Supplies,Storage,37.98,49.8,Riley Bell,Consumer,South,2024-01,23.73493975903615,0
NM202401785398,2024-01-08,2024-01-10,CU0045,PR502,8,2283.84,0.1,984.32,Technology,Phones,162.44,317.2,Quinn Lee,Corporate,South,2024-01,43.0993414599972,2
NM202401692340,2024-01-04,2024-01-11,CU0123,PR515,8,4578.48,0.0,2044.2399999999998,Furniture,Bookcases,316.78,572.31,Sam Dean,Home Office,Central,2024-01,44.64887910398211,7
NM202401786822,2024-01-17,2024-01-21,CU0190,PR518,1,47.36,0.3,13.36,Office Supplies,Paper,34.0,67.65,Quinn Lee,Consumer,East,2024-01,28.209459459459456,4
NM202401914034,2024-01-23,2024-01-26,CU0057,PR511,4,475.24,0.0,224.56,Furniture,Chairs,62.67,118.81,Casey Lee,Corporate,Central,2024-01,47.251914821984684,3
NM202401582940,2024-01-19,2024-01-24,CU0217,PR523,7,357.21,0.0,86.66,Office Supplies,Art,38.65,51.03,Jordan Cruz,Consumer,Central,2024-01,24.260239075053892,5
NM202401296220,2024-01-30,2024-02-06,CU0103,PR506,2,1111.46,0.15,454.9,Technology,Accessories,328.28,653.8,Quinn Bell,Consumer,South,2024-01,40.92814856135173,7
NM202401943709,2024-01-25,2024-01-30,CU0169,PR513,7,1244.8,0.3,-127.41,Furniture,Tables,196.03,254.04,Morgan Ray,Home Office,South,2024-01,-10.235379177377892,5
NM202401605050,2024-01-11,2024-01-12,CU0170,PR515,3,1545.24,0.1,594.9000000000001,Furniture,Bookcases,316.78,572.31,Drew Ray,Home Office,South,2024-01,38.4988739613264,1
NM202401238986,2024-01-26,2024-01-27,CU0127,PR506,4,1046.08,0.6,-267.04,Technology,Accessories,328.28,653.8,Morgan Roy,Corporate,South,2024-01,-25.52768430712757,1
NM202401703433,2024-01-06,2024-01-08,CU0046,PR520,5,44.55,0.1,18.5,Office Supplies,Paper,5.21,9.9,Morgan Bell,Corporate,South,2024-01,41.5263748597082,2
NM202401946659,2024-01-27,2024-01-29,CU0178,PR518,1,47.36,0.3,13.36,Office Supplies,Paper,34.0,67.65,Drew Lee,Consumer,West,2024-01,28.209459459459456,2
NM202401912628,2024-01-06,2024-01-06,CU0179,PR506,2,523.04,0.6,-133.52,Technology,Accessories,328.28,653.8,Drew Bell,Home Office,South,2024-01,-25.52768430712757,0
